epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
106,0.00719,0.061281,0.999,0.97525,0.969231,0.97525,0.968033,0.97525
107,0.00577,0.018925,0.999313,0.9945,0.992045,0.9945,0.992832,0.9945
108,0.00434,0.023177,0.999937,0.99325,0.991204,0.99325,0.991528,0.99325
109,0.00395,0.09592,1.0,0.975,0.965833,0.975,0.968333,0.975
110,0.00367,0.092046,1.0,0.97575,0.967667,0.97575,0.96969,0.97575
111,0.003576,0.178319,0.999937,0.95925,0.945719,0.95925,0.949493,0.95925
112,0.003393,0.112047,1.0,0.97075,0.961869,0.97075,0.962313,0.97075
113,0.010523,0.045121,0.997625,0.98,0.971667,0.98,0.974167,0.98
114,0.00486,0.01064,0.999563,0.99975,0.999762,0.99975,0.99975,0.99975
115,0.00355,0.00702,0.999812,1.0,1.0,1.0,1.0,1.0
116,0.002908,0.097487,0.999937,0.96125,0.957895,0.96125,0.952487,0.96125
117,0.002883,0.07053,0.999937,0.97175,0.964643,0.97175,0.963864,0.97175
