shot,a4,resid_rms
11707_ch,49.0,0.002757942769676447
11716_cv,1.0,0.0020409964490681887
11716_cv,2.0,0.002041013678535819
11716_cv,3.0,0.0020410362631082535
11716_cv,4.0,0.002041060710325837
11716_cv,5.0,0.0020410805009305477
11716_cv,6.0,0.002041089115664363
11716_cv,7.0,0.002041085623204708
11716_cv,8.0,0.002041073050349951
11716_cv,9.0,0.002041071420535445
11716_cv,10.0,0.0020410462748259306
11716_cv,11.0,0.002617538208141923
11716_cv,12.0,0.0024848859757184982
11716_cv,13.0,0.00240334146656096
11716_cv,14.0,0.002333552809432149
11716_cv,15.0,0.0022749709896743298
11716_cv,16.0,0.002225954784080386
11716_cv,17.0,0.0021849165204912424
11716_cv,18.0,0.002150540240108967
11716_cv,19.0,0.0021217167377471924
11716_cv,20.0,0.0020974755752831697
11716_cv,21.0,0.002077104989439249
11716_cv,22.0,0.00206015189178288
11716_cv,23.0,0.002046460984274745
11716_cv,24.0,0.0020358278416097164
11716_cv,25.0,0.0020279542077332735
11716_cv,26.0,0.0020225332118570805
11716_cv,27.0,0.0020192046649754047
11716_cv,28.0,0.0020169676281511784
11716_cv,29.0,0.0020171350333839655
11716_cv,30.0,0.0020176300313323736
11716_cv,31.0,0.002018401399254799
11716_cv,32.0,0.0020193983800709248
11716_cv,33.0,0.002020609565079212
11716_cv,34.0,0.0020219185389578342
11716_cv,35.0,0.00202330038882792
11716_cv,36.0,0.0020249183289706707
11716_cv,37.0,0.002026926726102829
11716_cv,38.0,0.002029294380918145
11716_cv,39.0,0.0020318138413131237
11716_cv,40.0,0.0020343365613371134
11716_cv,41.0,0.0020368327386677265
11716_cv,42.0,0.0020393843296915293
11716_cv,43.0,0.002042141743004322
11716_cv,44.0,0.002045398112386465
11716_cv,45.0,0.0020480023231357336
11716_cv,46.0,0.0020504079293459654
11716_cv,47.0,0.0020525450818240643
11716_cv,48.0,0.002054376993328333
11716_cv,49.0,0.0020559008698910475
11716_ch,1.0,0.0020636441186070442
11716_ch,2.0,0.002063681138679385
11716_ch,3.0,0.0020637062843889
11716_ch,4.0,0.0020637400448322296
11716_ch,5.0,0.002063784981146455
11716_ch,6.0,0.0020637880079448223
11716_ch,7.0,0.002063792198896408
11716_ch,8.0,0.003061081515625119
11716_ch,9.0,0.0029764969367533922
11716_ch,10.0,0.0028904718346893787
11716_ch,11.0,0.0028041470795869827
11716_ch,12.0,0.0026660924777388573
11716_ch,13.0,0.0025796685367822647
11716_ch,14.0,0.002504256321117282
11716_ch,15.0,0.002438931493088603
11716_ch,16.0,0.0023823827505111694
11716_ch,17.0,0.0023332801647484303
11716_ch,18.0,0.0022904835641384125
11716_ch,19.0,0.002252922160550952
11716_ch,20.0,0.0022195419296622276
11716_ch,21.0,0.0021895121317356825
11716_ch,22.0,0.0021623976062983274
11716_ch,23.0,0.0021380793768912554
11716_ch,24.0,0.0021164915524423122
11716_ch,25.0,0.002097490942105651
11716_ch,26.0,0.002080896869301796
11716_ch,27.0,0.0020665586926043034
11716_ch,28.0,0.0020543469581753016
11716_ch,29.0,0.0020440395455807447
11716_ch,30.0,0.0020355277229100466
11716_ch,31.0,0.002027662470936775
11716_ch,32.0,0.002021058928221464
11716_ch,33.0,0.0020154595840722322
11716_ch,34.0,0.0020108164753764868
11716_ch,35.0,0.0020070176105946302
11716_ch,36.0,0.002003620145842433
11716_ch,37.0,0.0020006424747407436
11716_ch,38.0,0.0019980736542493105
11716_ch,39.0,0.001995904603973031
11716_ch,40.0,0.0019941178616136312
11716_ch,41.0,0.0019926968961954117
11716_ch,42.0,0.001991627039387822
11716_ch,43.0,0.0019908894319087267
11716_ch,44.0,0.001990451943129301
11716_ch,45.0,0.0019902654457837343
11716_ch,46.0,0.0019902659114450216
11716_ch,47.0,0.001990390010178089
11716_ch,48.0,0.0019905774388462305
11716_ch,49.0,0.0019907832611352205
11733_cv,1.0,0.0033828760497272015
11733_cv,2.0,0.0033829037565737963
11733_cv,3.0,0.0033829351887106895
11733_cv,4.0,0.003382966620847583
11733_cv,5.0,0.0033829936292022467
11733_cv,6.0,0.0033830113243311644
11733_cv,7.0,0.0033830187749117613
11733_cv,8.0,0.0033830178435891867
11733_cv,9.0,0.004214680287986994
11733_cv,10.0,0.00414495263248682
11733_cv,11.0,0.004075074568390846
11733_cv,12.0,0.00396302854642272
11733_cv,13.0,0.0038918848149478436
11733_cv,14.0,0.0038292452227324247
11733_cv,15.0,0.0037747202441096306
11733_cv,16.0,0.003727386239916086
11733_cv,17.0,0.0036860480904579163
11733_cv,18.0,0.0036494238302111626
11733_cv,19.0,0.00361631833948195
11733_cv,20.0,0.0035857539623975754
11733_cv,21.0,0.003557106014341116
11733_cv,22.0,0.0035301721654832363
11733_cv,23.0,0.0035050346050411463
11733_cv,24.0,0.0034817983396351337
11733_cv,25.0,0.0034604305401444435
11733_cv,26.0,0.0034407516941428185
11733_cv,27.0,0.003422518027946353
11733_cv,28.0,0.003405491355806589
11733_cv,29.0,0.003382809227332473
11733_cv,30.0,0.003374087158590555
11733_cv,31.0,0.0033592309337109327
11733_cv,32.0,0.0033448038157075644
11733_cv,33.0,0.003330689389258623
11733_cv,34.0,0.003316885093227029
11733_cv,35.0,0.003303415374830365
11733_cv,36.0,0.0032903177198022604
11733_cv,37.0,0.0032775946892797947
11733_cv,38.0,0.0032652311492711306
11733_cv,39.0,0.0032531479373574257
11733_cv,40.0,0.003241347847506404
11733_cv,41.0,0.003229852532967925
11733_cv,42.0,0.00321877165697515
11733_cv,43.0,0.003208242356777191
11733_cv,44.0,0.0031988939736038446
11733_cv,45.0,0.0031895360443741083
11733_cv,46.0,0.003180326195433736
11733_cv,47.0,0.0031712406780570745
11733_cv,48.0,0.0031609844882041216
11733_cv,49.0,0.0031524242367595434
11733_ch,1.0,0.0034821401350200176
11733_ch,2.0,0.0034821764566004276
11733_ch,3.0,0.0034821988083422184
11733_ch,4.0,0.003482230706140399
11733_ch,5.0,0.0034822586458176374
11733_ch,6.0,0.003482282627373934
11733_ch,7.0,0.003482286585494876
11733_ch,8.0,0.004387036431580782
11733_ch,9.0,0.0043199509382247925
11733_ch,10.0,0.004251923877745867
11733_ch,11.0,0.004183636512607336
11733_ch,12.0,0.003482250263914466
11733_ch,13.0,0.004005316644906998
11733_ch,14.0,0.003943338990211487
11733_ch,15.0,0.0038889688439667225
11733_ch,16.0,0.00384137942455709
11733_ch,17.0,0.0037994859740138054
11733_ch,18.0,0.003762107342481613
11733_ch,19.0,0.0037280984688550234
11733_ch,20.0,0.0036965077742934227
11733_ch,21.0,0.0036667261738330126
11733_ch,22.0,0.003638559952378273
11733_ch,23.0,0.003612120868638158
11733_ch,24.0,0.003587546292692423
11733_ch,25.0,0.00356482295319438
11733_ch,26.0,0.0035437762271612883
11733_ch,27.0,0.0035241651348769665
11733_ch,28.0,0.003505751956254244
11733_ch,29.0,0.0034883148036897182
11733_ch,30.0,0.0034716518130153418
11733_ch,31.0,0.003455592319369316
11733_ch,32.0,0.00343999732285738
11733_ch,33.0,0.0034248202573508024
11733_ch,34.0,0.0034100364428013563
11733_ch,35.0,0.003395616775378585
11733_ch,36.0,0.003381617134436965
11733_ch,37.0,0.0033679953776299953
11733_ch,38.0,0.0033547761850059032
11733_ch,39.0,0.0033418992534279823
11733_ch,40.0,0.003329341532662511
11733_ch,41.0,0.0033171544782817364
11733_ch,42.0,0.0033054277300834656
11733_ch,43.0,0.00329430028796196
11733_ch,44.0,0.0032842515502125025
11733_ch,45.0,0.0032749383244663477
11733_ch,46.0,0.003264734288677573
11733_ch,47.0,0.003254990093410015
11733_ch,48.0,0.00324485101737082
11733_ch,49.0,0.0032359163742512465
11698_cv,1.0,0.002050283132120967
11698_cv,2.0,0.002050305251032114
11698_cv,3.0,0.0020502901170402765
11698_cv,4.0,0.002050291048362851
11698_cv,5.0,0.0020502868574112654
11698_cv,6.0,0.002050268230959773
11698_cv,7.0,0.0020502477418631315
11698_cv,8.0,0.00204925867728889
11698_cv,9.0,0.002047242596745491
11698_cv,10.0,0.002040133811533451
11698_cv,11.0,0.002036608988419175
11698_cv,12.0,0.0020343190990388393
11698_cv,13.0,0.002032896736636758
11698_cv,14.0,0.002034650417044759
11698_cv,15.0,0.0020395000465214252
11698_cv,16.0,0.0020430744625627995
11698_cv,17.0,0.002046907087787986
11698_cv,18.0,0.0020486991852521896
11698_cv,19.0,0.0020497161895036697
11698_cv,20.0,0.0020501709077507257
11698_cv,21.0,0.0020502868574112654
11698_cv,22.0,0.00205026613548398
11698_cv,23.0,0.0020503117702901363
