suite,shot,method,n_bins,n_dof,fits_data,seconds,resid_pct,resid_unsat_pct,n_imputed_channels,hi10_frac,centroid_mev,n_eff_bins,nnls_floor_pct
real,11696_cv,DNN classifier n50,50,50,False,0.04582210000080522,49.06084501300258,49.06084501300258,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,48.887912224818834
real,11696_cv,PFF ensemble,200,6,False,0.28033870000217576,48.93402079641645,48.93402079641645,0,0.00020732899055070781,11.249204900270913,2.4977916181380015,48.887912224818834
real,11696_cv,TSVD_NN,100,7,True,0.035456799989333376,49.336317762837524,49.336317762837524,0,0.030479452894652658,27.809914200913642,1.8949456740795094,48.887912224818834
real,11696_ch,CNN n50,50,50,False,0.058157300009042956,54.04800284206387,54.04800284206387,0,0.029758468952933898,37.22417625761214,3.3547347035036488,54.097600362826874
real,11696_ch,DNN spectrum n20,20,20,False,0.05150409998896066,53.231013038236874,53.231013038236874,0,0.0,,2.777777777809192,54.097600362826874
real,11696_ch,DNN classifier n50,50,50,False,0.049110199994174764,52.499556330478036,52.499556330478036,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,54.097600362826874
real,11696_ch,PFF ensemble,200,6,False,0.234273200010648,54.46345383175361,54.46345383175361,0,0.00021608829317002119,11.254369527510283,2.5087393004667073,54.097600362826874
real,11696_ch,TSVD_NN,100,7,True,0.004593799996655434,52.63397639060836,52.63397639060836,0,0.03182224627739377,40.5,1.8419624889111463,54.097600362826874
real,11705_cv,CNN n50,50,50,False,0.04764410000643693,37.97475615717754,37.97475615717754,0,0.23811683910473536,32.08531710941721,7.110899506273292,32.97114634015097
real,11705_cv,DNN spectrum n20,20,20,False,0.04474610000033863,36.3877377145501,36.3877377145501,0,0.0,,2.8019049894384485,32.97114634015097
real,11705_cv,DNN classifier n50,50,50,False,0.050422799991793,34.21155644166214,34.21155644166214,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,32.97114634015097
real,11705_cv,PFF ensemble,200,6,False,0.2494107999955304,33.494491012315365,33.494491012315365,0,0.12448747651293897,17.540980811056805,3.2691410636454314,32.97114634015097
real,11705_cv,TSVD_NN,100,7,True,0.0155596999975387,33.23753099695289,33.23753099695289,0,0.0896717149875672,26.432432333569295,1.8343850001606274,32.97114634015097
real,11705_ch,CNN n50,50,50,False,0.05152149999048561,36.00833629163392,36.00833629163392,0,0.22188316033815145,36.84310209090076,6.793832142751768,33.07577847515017
real,11705_ch,DNN spectrum n20,20,20,False,0.04701899999054149,38.62202097179644,38.62202097179644,0,0.0,,2.7777777777778114,33.07577847515017
real,11705_ch,DNN classifier n50,50,50,False,0.04830160000710748,35.50539367899391,35.50539367899391,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,33.07577847515017
